id,problem_text,solution_text,error_type_internal,fgos_section,grade,expert_consensus,annotator_notes
224,Решите 3x - 6 = 0,3x = 6 + 0 = 6. x = 3,carelessness,уравнения,7,agreement,Правильно — баланс
225,Найдите длину дуги если r=6 угол=90°,L = π*6 = 6π,carelessness,геометрия,9,agreement,Не учёл долю окружности; L = (90/360)*2*π*6 = 3π
226,Решите 4(x+2) = 20,4x + 2 = 20. 4x = 18. x = 4.5,carelessness,уравнения,7,agreement,Раскрыл скобки неверно: 4*(x+2)=4x+8; 4x=12; x=3
227,Найдите 15% от 80,15% от 80 = 15,carelessness,арифметика,6,agreement,Ошибка в вычислении; 0.15*80=12
228,Вычислите 9 * 9,9 * 9 = 81,carelessness,арифметика,5,agreement,Правильно — баланс
229,Решите x / 5 = 15,x = 15 / 5 = 3,carelessness,уравнения,6,agreement,Разделил вместо умножения; x = 15*5 = 75
230,Найдите объём прямоугольного параллелепипеда 3x4x5,V = 3 + 4 + 5 = 12,carelessness,геометрия,7,agreement,Сложил вместо умножения; V = 3*4*5 = 60
231,Найдите 2/9 + 4/9,2/9 + 4/9 = 6/18 = 1/3,concept_error,дроби,5,agreement,Сложил знаменатели; правильно 6/9=2/3
232,Вычислите 4^(3/2),(4^3)^(1/2) = 64^(1/2) = 8,concept_error,степени,9,agreement,Правильно — баланс
233,Решите x/0 = 5,x = 0,concept_error,уравнения,8,agreement,Деление на ноль не определено; уравнение не имеет смысла
234,Найдите диаметр если длина окружности L=12π,d = 12,concept_error,геометрия,8,agreement,Правильно — баланс
235,Вычислите 2^(-3),2^(-3) = -8,concept_error,степени,8,agreement,Не знает что отрицательная степень — дробь; 2^(-3)=1/8
236,Найдите 7/8 - 3/8,7/8 - 3/8 = 4/0,concept_error,дроби,5,agreement,Вычел знаменатели; правильно 4/8=1/2
237,Решите уравнение x + x = x,x = 0 и x = 2,concept_error,уравнения,7,agreement,x+x=2x=x → x=0; единственный корень
238,Найдите НОК(6 и 9),НОК(6;9) = 54,concept_error,арифметика,5,agreement,Перемножил вместо нахождения наименьшего общего кратного; НОК=18
239,Вычислите 3^(-1),3^(-1) = -3,concept_error,степени,8,agreement,Не знает что 3^(-1)=1/3
240,Найдите площадь ромба если диагонали 6 и 8,S = 6 * 8 = 48,concept_error,геометрия,8,agreement,Не применил формулу S=d1*d2/2=24
241,Вычислите 56 / 4,56 / 4 = 13,computation_error,арифметика,5,agreement,Ошибка: 13 вместо 14
242,Решите 13x = 91,13x = 91. x = 8,computation_error,уравнения,7,agreement,Ошибка: 91/13=8 вместо 7
243,Найдите 7.2 + 4.9,7.2 + 4.9 = 11.1,computation_error,дроби,6,agreement,Ошибка: 11.1 вместо 12.1
244,Вычислите 14^2,14^2 = 196,computation_error,степени,7,agreement,Правильно — баланс
245,Найдите 132 / 11,132 / 11 = 13,computation_error,арифметика,6,agreement,Ошибка: 13 вместо 12
246,Решите 16x = 128,16x = 128. x = 9,computation_error,уравнения,7,agreement,Ошибка: 128/16=9 вместо 8
247,Вычислите 2.4 * 5,2.4 * 5 = 10,computation_error,дроби,6,agreement,Ошибка: 10 вместо 12
